X,Y,Z
5,-14,252
4,-13,252
5,-13,252
5,-14,252
5,-13,252
5,-13,253
5,-13,252
6,-14,252
5,-13,252
5,-13,252
5,-13,254
4,-14,253
4,-13,252
5,-13,250
5,-13,253
4,-14,251
5,-13,251
5,-13,253
4,-13,252
5,-13,252
5,-13,253
5,-14,253
5,-15,252
6,-14,252
5,-13,253
4,-13,252
5,-13,252
5,-13,253
4,-13,252
5,-13,251
6,-13,252
5,-13,252
5,-13,252
4,-13,253
6,-14,253
5,-13,252
4,-13,251
4,-12,252
4,-13,252
5,-13,252
5,-13,252
5,-13,253
5,-13,251
5,-12,253
5,-14,251
5,-13,251
4,-12,253
4,-14,254
6,-13,252
5,-13,253
4,-14,252
4,-13,252
6,-13,252
5,-13,253
4,-13,252
5,-13,252
5,-13,252
5,-14,252
6,-15,251
5,-12,253
5,-13,253
5,-13,251
6,-14,252
5,-13,252
4,-12,251
5,-13,252
5,-13,252
5,-12,253
5,-13,252
5,-13,252
5,-13,252
5,-14,252
5,-12,252
5,-13,253
5,-14,252
4,-13,251
5,-14,254
5,-14,251
5,-13,253
4,-14,253
6,-3085,-3085
5,-14,251
3,-12,251
5,-14,253
5,-13,253
5,-13,252
5,-13,252
5,-13,252
6,-12,252
5,-13,253
4,-14,252
5,-14,253
4,-12,253
4,-13,251
5,-13,252
5,-13,252
5,-13,251
4,-14,252
6,-2828,-2828
5,-13,250
4,-13,252
4,-13,252
4,-12,253
5,-12,252
5,-12,253
5,-13,253
5,-12,252
4,-14,252
5,-13,253
5,-13,252
5,-13,252
5,-13,253
4,-14,254
5,-13,252
5,-13,251
5,-13,251
5,-13,252
5,-13,253
4,-13,252
6,-13,252
5,-14,253
6,-14,252
4,-13,251
5,-13,253
4,-13,252
4,-3342,-3342
5,-13,253
4,-13,253
5,-13,252
5,-13,251
5,-14,252
4,-13,252
5,-14,252
4,-13,253
4,-13,252
6,-14,253
5,-13,251
5,-13,254
5,-14,251
4,-14,252
5,-13,253
5,-13,252
4,-13,252
5,-13,-1029
5,-14,252
4,-12,253
5,-12,252
4,-12,252
5,-13,254
5,-13,253
5,-12,253
4,-13,252
5,-13,-772
5,-13,252
5,-13,252
5,-13,253
4,-12,252
4,-13,253
4,-12,252
6,-12,253
5,-13,251
6,-14,252
4,-13,251
4,-13,252
4,-13,252
4,-12,253
4,-14,252
5,-13,252
5,-13,252
5,-13,252
4,-14,251
5,-13,252
5,-14,252
4,-12,253
5,-13,252
5,-12,253
4,-13,251
